sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);ATMOSPHERIC PRESSURE (hPa);TEMPERATURE (C);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.42138;9.65342;1.02472;-0.44336;9.69531;1.03516;0.03906;0.01563;-0.06836;2.59;-0.84;-1.19;5.0;-3.125;-47.062;-0.75;150.989;-83.375;23.186;100.0;985.56;34.5;8.6384;50.01494;19.906393;;226.9343719;;;20.0;;0 / 21;3;2015-05-04 22:07:37:273
-0.32561;9.67258;1.02472;-0.41992;9.66797;1.04102;0.13086;-0.03125;0.07813;1.33;5.74;0.98;5.0;-3.437;-47.25;-0.625;150.656;-83.377;21.968;100.0;985.56;34.5;5.7909;50.01494;19.906393;;226.9343719;;;20.0;;0 / 21;503;2015-05-04 22:07:37:773
-0.42138;9.84496;1.36948;-0.30664;9.68359;1.2168;-0.06055;0.06641;0.11328;0.07;1.33;2.24;5.0;-3.75;-47.25;-1.562;139.347;-82.617;14.144;100.0;985.53;34.5;10.4445;50.01494;19.906393;;226.9343719;;;20.0;;0 / 21;1003;2015-05-04 22:07:38:273
-0.17238;9.63427;1.54187;-0.23633;9.66016;1.32031;0.06055;-0.03516;0.24219;0.42;5.81;-4.27;5.0;-4.562;-47.062;-1.5;140.459;-82.383;10.699;100.0;985.62;34.5;17.452;50.01494;19.906393;;226.9343719;;;20.0;;0 / 21;1504;2015-05-04 22:07:38:774
-0.45969;9.7875;0.69911;-0.35937;9.6875;1.21094;-0.07617;0.13086;-0.57227;8.82;6.51;0.49;5.0;-4.187;-47.125;-1.875;143.131;-81.681;13.671;100.0;985.62;34.5;14.6243;50.01494;19.906393;;226.9343719;;;20.0;;0 / 21;2003;2015-05-04 22:07:39:273
-0.36392;9.71088;1.06303;-0.31836;9.68945;1.16211;-0.0918;0.04492;-0.15039;2.17;29.33;7.0;5.0;-4.375;-46.375;-2.312;137.662;-82.786;13.638;100.0;985.62;34.5;10.5947;50.01494;19.906393;;226.9343719;;;20.0;;0 / 21;2503;2015-05-04 22:07:39:773
-0.09577;9.8258;1.21625;-0.25;9.70117;1.25586;0.12891;0.11914;-0.04687;1.82;31.29;6.02;2.0;-5.187;-45.812;-4.812;112.612;-82.234;12.925;100.0;985.59;34.5;8.4516;50.01494;19.906393;;226.9343719;;;20.0;;0 / 21;3003;2015-05-04 22:07:40:273
-0.44053;9.5385;0.89064;-0.41406;9.69141;1.22461;-0.00586;-0.12305;-0.26562;0.28;32.9;2.31;2.0;-4.5;-45.875;-8.937;80.646;-82.402;18.681;100.0;985.52;34.6;10.4127;50.01494;19.906393;;226.9343719;;;20.0;;0 / 21;3503;2015-05-04 22:07:40:773
-0.42138;9.67258;1.04387;-0.28906;9.67383;1.01172;-0.10937;0.00195;0.03516;0.21;29.82;5.67;2.0;-3.625;-45.5;-9.687;61.361;-83.792;15.945;100.0;985.49;34.6;5.7791;50.01494;19.906393;;226.9343719;;;20.0;;0 / 21;4004;2015-05-04 22:07:41:274
-0.03831;9.71088;0.92895;-0.29297;9.68164;1.01367;0.25781;-0.04297;-0.0332;-1.19;29.82;6.09;2.0;-1.812;-44.812;-12.875;38.362;-83.78;16.12;100.0;985.55;34.6;7.0337;50.01494;19.906393;;226.9343719;;;20.0;;0 / 21;4503;2015-05-04 22:07:41:773
