"miasto";"ulica";"pokoi";"powierzchnia";"pietro";"cena";"cenam2";"dzielnica";"data"
"Krakow";"rusznikarska ";2;43.42;"2";380000;8752;"Krowodrza";2011-09-14
"Krakow";"filipowicza";2;53;"parter";320000;6038;"Podgorze Duchackie";2011-09-14
"Krakow";"mistrzejowice nowe";2;51.6;"1";330000;6396;"Mistrzejowice";2011-09-14
"Krakow";"wandy";2;47;"2";245000;5213;"Nowa Huta";2011-09-14
"Krakow";"kobierzynska";3;63;"4";340000;5397;"Podgorze";2011-09-14
"Krakow";"teligi";2;45;"2";240000;5334;"Biezanow-Prokocim";2011-09-14
"Krakow";"myczkowskiego";2;54;"3";330000;6112;"Bronowice";2011-09-14
"Krakow";"kazimierzowskie";2;43.5;"4";220000;5058;"Bienczyce";2011-09-14
"Krakow";"litewska";2;46.81;"4";330000;7050;"Krowodrza";2011-09-14
"Krakow";"wielkotyrnowska ";2;36;"3";245000;6806;"Pradnik Bialy";2011-09-14
"Krakow";"kurczaba";2;47.9;"2";254000;5303;"Biezanow-Prokocim";2011-09-14
"Krakow";"strusia";3;47;"3";239000;5086;"Nowa Huta";2011-09-14
"Krakow";"podlesie";2;52;"3";320000;6154;"Podgorze";2011-09-13
"Krakow";"wroclawska";3;58;"4";380000;6552;"Krowodrza";2011-09-13
"Krakow";"na kozlowce";2;37.3;"2";235000;6301;"Podgorze";2011-09-13
"Krakow";"mala gora";1;35.35;"10";190000;5375;"Biezanow-Prokocim";2011-09-13
"Krakow";"ks";2;37.3;"2";255000;6837;"Krowodrza";2011-09-13
"Krakow";"cieszynska";1;40.75;"1";360000;8835;"Stare Miasto";2011-09-13
"Krakow";"biezanowska";3;46.9;"9";275000;5864;"Biezanow-Prokocim";2011-09-13
"Krakow";"kalinowe";1;24;"6";150000;6250;"Mistrzejowice";2011-09-13
"Krakow";"lea";3;82;"3";580000;7074;"Krowodrza";2011-09-13
"Krakow";"galla";2;42.5;"3";330000;7765;"Nowa Huta";2011-09-13
"Krakow";"obozowa";1;37;"1";229000;6190;"Podgorze";2011-09-13
